Energy,Protein,Fat,Fibre,Carbs
294,4,1,10,5
504,3,5,2,8
294,4,1,9,7
210,4,0,14,8
462,2,2,1,14
462,2,2,1.5,10.5
462,2,0,1,11
546,3,2,2,18
378,2,1,4,15
378,3,0,5,13
504,1,2,0,12
462,6,2,2,17
504,1,3,0,13
462,3,2,2,13
462,1,1,0,12
462,2,0,0,22
420,2,0,1,21
462,1,0,1,13
462,1,1,0,12
462,3,3,4,10
420,3,0,1,21
462,2,0,1,21
420,2,1,2,11
420,2,0,1,18
462,2,1,1,11
462,1,0,1,14
420,3,0,3,14
504,3,2,5,12
504,3,0,5,14
462,1,1,0,13
420,2,0,0,11
462,1,1,0,15
420,3,1,3,15
462,3,0,3,17
504,3,3,3,13
504,1,2,1,12
462,3,1,1.5,11.5
462,1,0,0,14
462,2,1,1,17
588,3,1,2,20
462,2,1,0,21
420,4,2,2,12
462,2,1,0,12
420,4,1,0,16
630,4,3,3,16
630,4,3,3,16
672,3,2,3,17
420,2,1,2,15
504,2,1,0,15
588,3,2,3,21
378,3,0,3,18
546,3,2,1.5,13.5
504,3,1,6,11
420,3,0,1,20
210,1,0,0,13
210,2,0,1,10
420,4,1,2,14
420,5,2,2.7,-1
504,3,1,5,14
420,3,2,2.5,10.5
378,2,0,2,15
462,1,0,0,23
462,2,0,0,22
336,2,0,3,16
378,3,0,4,19
378,3,0,3,20
462,2,1,1,9
462,6,0,1,16
378,2,0,3,15
462,2,1,0,21
588,3,1,4,15
420,3,1,3,16
462,2,1,0,21
462,1,1,0,13
420,3,1,3,17
420,3,1,3,17
462,2,1,1,16
